ID,Reference,Species,Synonym,Family,Growth_form,Life_span,Tissue,Seed_Cat,Leaf_strategy,Leaf_form,PS_type,Dr,Lr,Wr,Dl,Hs,Ws,DBH,Vr,Vs,Drel,Lrel,Y_Xshoot,Y_Xroot,S_Ry,S_Rx,Biome,Eco_Name,Realm,Eco_ID,Vegetation,Location,Lat,Long,Spatial_buffer,Elevation,Soil_description,USDA_soil_texture,EU_soil_texture,Water_Table_Depth_Fan,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,MAP,MAE,Ai,Sa,Msur,Mdef,Psur,Pdef,Rclass,Rregime,Aclass
3720,Castelli et al. 2000;Fan et al. 2017,Muhlenbergia richardsonis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Great Basin shrub steppe,NA.,51305,,central Nevada. USA,39.32,-117.12,NA,2146,Aquic cryoboroll,Lo,M,0.2,279.1958,16.80833,44.82222,761.1339,298.05,260.55,37.5,277.05,288.95,288.95,270.55,0.044,0.018,29.54263,0.129,0.061,0.061,0.082,0.48,1.054,0.46,0.006,2,10,0.006,0.71,C,W,sa
3721,Castelli et al. 2000;Fan et al. 2017,Artemisia tridentata,,Asteraceae,Shrub,P,Woody,Dicot,E,,C3,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Great Basin shrub steppe,NA.,51305,,central Nevada. USA,39.32,-117.12,NA,2146,Pachic cryoboroll,SaLo,C,0.25,279.1958,16.80833,44.82222,761.1339,298.05,260.55,37.5,277.05,288.95,288.95,270.55,0.044,0.018,29.54263,0.129,0.061,0.061,0.082,0.48,1.054,0.46,0.006,2,10,0.006,0.71,C,W,sa
3722,Castelli et al. 2000;Fan et al. 2017,Carex nebrascensis,,Cyperaceae,Grass,P,Herbaceous,Monocot,,,C3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Great Basin shrub steppe,NA.,51305,,central Nevada. USA,39.12,-116.81,NA,2377,Haplocryoll,SiLo,M,0.03,279.0958,15.99167,43.57402,763.2004,297.85,261.15,36.7,276.8667,288.8333,288.9333,270.5167,0.036,0.022,18.56375,0.105,0.07,0.071,0.075,0.51,1.016,0.5,0.002,2,10,0.002,0.696,D,E,sh
3723,Castelli et al. 2000;Fan et al. 2017,Poa pratensis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Great Basin shrub steppe,NA.,51305,,central Nevada. USA,39.12,-116.81,NA,2377,Aquic cumulic haplocryoll,Lo,M,0.33,279.0958,15.99167,43.57402,763.2004,297.85,261.15,36.7,276.8667,288.8333,288.9333,270.5167,0.036,0.022,18.56375,0.105,0.07,0.071,0.075,0.51,1.016,0.5,0.002,2,10,0.002,0.696,D,E,sh
3724,Castelli et al. 2000;Fan et al. 2017,Muhlenbergia richardsonis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Great Basin shrub steppe,NA.,51305,,central Nevada. USA,39.12,-116.81,NA,2377,Pachic cryoboroll,SaLo,C,0.3,279.0958,15.99167,43.57402,763.2004,297.85,261.15,36.7,276.8667,288.8333,288.9333,270.5167,0.036,0.022,18.56375,0.105,0.07,0.071,0.075,0.51,1.016,0.5,0.002,2,10,0.002,0.696,D,E,sh
3725,Castelli et al. 2000;Fan et al. 2017,Artemisia tridentata,,Asteraceae,Shrub,P,Woody,Dicot,E,,C3,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Great Basin shrub steppe,NA.,51305,,central Nevada. USA,39.12,-116.81,NA,2377,Pachic cryoboroll,SaLo,C,0.9,279.0958,15.99167,43.57402,763.2004,297.85,261.15,36.7,276.8667,288.8333,288.9333,270.5167,0.036,0.022,18.56375,0.105,0.07,0.071,0.075,0.51,1.016,0.5,0.002,2,10,0.002,0.696,D,E,sh
3726,Cattanio et al. 2004;Fan et al. 2017,Spondias mombin L.,Dicotyledonous sp.,Anacardiaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Grasslands; Savannas & Shrublands,,,,,Combu Isl. Belem,-1.05,-48.47,NA,15,sandy clay heavier (more clay),SiCl,F,NA,300.4375,6.258333,81.27705,45.83196,304.25,296.55,7.700001,299.8667,300.9833,301,299.8667,0.504,0.042,74.19194,1.409,0.153,0.25,1.409,2.8,NA,NA,NA,NA,NA,NA,NA,D,TS,
3727,Cattanio et al. 2004;Fan et al. 2017,Spondias mombin L.,Dicotyledonous sp.,Anacardiaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Grasslands; Savannas & Shrublands,,,,,Combu Isl. Belem,-1.5,-48.46,NA,14,sandy clay,SaCl,F,NA,299.4417,7.466666,86.82172,39.18681,303.95,295.35,8.599998,299.0167,299.9333,299.9667,299,0.418,0.087,62.75884,1.193,0.271,0.376,1.183,2.8,1.695,1.65,0.277,6,6,1.172,0.277,D,TS,hu
3728,Cattanio et al. 2004;Fan et al. 2017,Euterpe oleracea,,Arecaceae,Tree,P,Woody,Monocot,E,palm,C3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Grasslands; Savannas & Shrublands,,,,,Combu Isl. Belem,-1.51,-48.47,NA,13,sandy clay lighter (sandier),SaClLo,M,NA,299.4375,7.441666,87.54902,38.08633,303.85,295.35,8.5,299.0167,299.9167,299.9333,299,0.421,0.087,62.80261,1.197,0.271,0.377,1.188,2.8,1.696,1.65,0.277,6,6,1.182,0.277,D,TS,hu
3729,Ceballos et al. 2012;Fan et al. 2017,Androtrichum giganteum -Kunth- H.Pfeiff.,Androtrichum giganteum (Kunth) H.Pfeiff.; Scirpus giganteus,Cyperaceae,Grass,P,Herbaceous,Monocot,,,C3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flooded Grasslands & Savannas,ParanÃ¡ flooded savanna,NT,60908,,Parana River Delta,-34.14,-58.71,NA,3,0.3m organic over mineral Entisols,LoSa,C,0.3,290.5333,10.68333,44.88796,473.6432,302.05,278.25,23.8,293.75,284.7167,296.35,284.7167,0.12,0.052,23.51352,0.314,0.171,0.273,0.171,1.1,1.287,0.85,0.068,4,8,0.068,0.35,D,S,hu
3730,Ceballos et al. 2012;Fan et al. 2017,Populus deltoides,,Salicaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flooded Grasslands & Savannas,ParanÃ¡ flooded savanna,NT,60908,,Parana River Delta,-34.15,-58.73,NA,5,0.3m organic over mineral Entisols,LoSa,C,1.75,290.5125,10.625,44.83122,471.9212,302.05,278.35,23.7,293.7333,284.7167,296.3167,284.7167,0.119,0.053,23.34845,0.313,0.171,0.273,0.171,1.1,1.29,0.85,0.071,4,8,0.071,0.357,D,S,hu
3731,Chapman 1970;Fan et al. 2017,Calluna vulgaris,,Ericaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,English Lowlands beech forests,PA,80421,,South England,50.72,-2.14,NA,124,well-developed humus iron,Lo,M,NA,283.5125,7.858333,40.50687,438.4172,293.35,273.95,19.4,279.45,287.4333,289.0833,278.6,0.092,0.041,26.1482,0.262,0.14,0.144,0.244,0.775,0.694,1.12,0.249,6,5,0.33,0.249,D,W,hu
3732,Chapman 1979;Fan et al. 2017,Calluna vulgaris,,Ericaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,English Lowlands beech forests,PA,80421,,South England,50.66,-1.95,NA,15,dune sand,Sa,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,W,
3733,Chapman 1979;Fan et al. 2017,Calluna vulgaris,,Ericaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,English Lowlands beech forests,PA,80421,,South England,50.67,-1.95,NA,5,dune sand,Sa,C,NA,283.925,5.066667,31.08384,411.9494,291.65,275.35,16.3,280.6,287.45,289.0833,279.25,0.097,0.037,30.22535,0.275,0.132,0.137,0.219,0.785,NA,NA,NA,NA,NA,NA,NA,D,W,
3734,Chapman 1979;Fan et al. 2017,Calluna vulgaris,,Ericaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,English Lowlands beech forests,PA,80421,,South England,50.67,-1.96,NA,5,dune sand,Sa,C,NA,283.9292,5.091667,31.23722,411.3584,291.65,275.35,16.3,280.6,287.45,289.0833,279.2667,0.097,0.037,30.38511,0.275,0.132,0.137,0.218,0.784,0.706,1.11,0.267,6,5,0.345,0.267,D,W,hu
3735,Chapman 1979;Fan et al. 2017,Calluna vulgaris,,Ericaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,English Lowlands beech forests,PA,80421,,South England,50.67,-2.1,NA,5,dune sand,Sa,C,NA,283.5583,7.816667,40.50086,436.3164,293.35,274.05,19.3,279.55,287.4833,289.0833,278.7,0.095,0.04,28.15169,0.27,0.139,0.157,0.251,0.783,0.698,1.12,0.254,7,5,0.339,0.254,D,W,hu
3736,Chapman 1979;Fan et al. 2017,Calluna vulgaris,,Ericaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,English Lowlands beech forests,PA,80421,,South England,50.66,-1.96,NA,30,dune sand,Sa,C,NA,283.8792,5.341667,32.17871,414.0128,291.75,275.15,16.6,280.4833,287.45,289.0833,279.2167,0.097,0.037,30.30341,0.275,0.133,0.138,0.217,0.784,0.706,1.11,0.266,6,5,0.344,0.266,D,W,hu
3737,Chapman 1979;Fan et al. 2017,Calluna vulgaris,,Ericaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,English Lowlands beech forests,PA,80421,,South England,50.66,-1.97,NA,10,dune sand,Sa,C,NA,283.8833,5.416667,32.43513,414.5882,291.85,275.15,16.7,280.45,287.4667,289.0833,279.2333,0.097,0.037,30.30341,0.275,0.133,0.138,0.217,0.784,0.704,1.11,0.266,7,5,0.346,0.266,D,W,hu
3738,Chapman 1979;Fan et al. 2017,Calluna vulgaris,,Ericaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,English Lowlands beech forests,PA,80421,,South England,50.66,-1.96,NA,8,dune sand,Sa,C,NA,283.8792,5.341667,32.17871,414.0128,291.75,275.15,16.6,280.4833,287.45,289.0833,279.2167,0.097,0.037,30.30341,0.275,0.133,0.138,0.217,0.784,0.706,1.11,0.266,6,5,0.344,0.266,D,W,hu
3739,Cheyney 1929.1932;Fan et al. 2017,Rosa blanda,,Rosaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Western Great Lakes forests,NA.,50416,,Northern Minnesota. USA,47.17,-95.16,NA,15,coarse sand,Sa,C,NA,276.8625,11.625,25.05388,1261.621,297.65,251.25,46.4,291.3833,260.3,291.3833,260.3,0.106,0.015,57.41785,0.296,0.055,0.296,0.055,0.67,0.837,0.8,0.078,6,6,0.078,0.245,D,S,hu
3740,Cheyney 1929.1932;Fan et al. 2017,Amelanchier sanguinea,,Rosaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Western Great Lakes forests,NA.,50416,,Northern Minnesota. USA,47.17,-95.16,NA,486,coarse sand,Sa,C,NA,276.8625,11.625,25.05388,1261.621,297.65,251.25,46.4,291.3833,260.3,291.3833,260.3,0.106,0.015,57.41785,0.296,0.055,0.296,0.055,0.67,0.837,0.8,0.078,6,6,0.078,0.245,D,S,hu
3741,Cheyney 1929.1932;Fan et al. 2017,Pinus banksiana,Pinus banksia,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Western Great Lakes forests,NA.,50416,,Northern Minnesota. USA,47.17,-95.16,NA,486,coarse sand,Sa,C,NA,276.8625,11.625,25.05388,1261.621,297.65,251.25,46.4,291.3833,260.3,291.3833,260.3,0.106,0.015,57.41785,0.296,0.055,0.296,0.055,0.67,0.837,0.8,0.078,6,6,0.078,0.245,D,S,hu
3742,Cheyney 1929.1932;Fan et al. 2017,Pedicularis aquilina,,Orobanchaceae,Forb,P,Herbaceous,Dicot,,,C3,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Western Great Lakes forests,NA.,50416,,Northern Minnesota. USA,47.17,-95.16,NA,486,coarse sand,Sa,C,NA,276.8625,11.625,25.05388,1261.621,297.65,251.25,46.4,291.3833,260.3,291.3833,260.3,0.106,0.015,57.41785,0.296,0.055,0.296,0.055,0.67,0.837,0.8,0.078,6,6,0.078,0.245,D,S,hu
3743,Christina et al. 2011;Fan et al. 2017,Eucalyptus grandis,,Myrtaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,15.8,NA,NA,NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA,1.22,NA,Tropical & Subtropical Grasslands; Savannas & Shrublands,Cerrado,NT,60704,,Itatinga. Sao Paolo,-23.02,-48.6,NA,486,sandy; deep Ferralsols (>10 m); 15-25% clay,Sa,C,17.5,292.0417,12.28333,64.99118,223.6559,301.45,282.55,18.9,294.5667,289.2667,294.5833,289.2667,0.218,0.035,60.76957,0.598,0.123,0.56,0.143,1.367,1.497,0.91,0.126,4,8,0.126,0.331,D,TS,hu
3744,Christina et al. 2011;Fan et al. 2017,Eucalyptus grandis,,Myrtaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,9.2,NA,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,1.13,NA,Tropical & Subtropical Grasslands; Savannas & Shrublands,Cerrado,NT,60704,,Itatinga. Sao Paolo,-23.02,-48.6,NA,486,sandy; deep Ferralsols (>10 m); 15-25% clay,Sa,C,NA,292.0417,12.28333,64.99118,223.6559,301.45,282.55,18.9,294.5667,289.2667,294.5833,289.2667,0.218,0.035,60.76957,0.598,0.123,0.56,0.143,1.367,1.497,0.91,0.126,4,8,0.126,0.331,D,TS,hu
3745,Christina et al. 2011;Fan et al. 2017,Eucalyptos grandis,,Myrtaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Grasslands; Savannas & Shrublands,Cerrado,NT,60704,,Itatinga. Sao Paolo,-23.02,-48.6,NA,869,sandy; deep Ferralsols (>10 m); 15-25% clay,Sa,C,16,292.0417,12.28333,64.99118,223.6559,301.45,282.55,18.9,294.5667,289.2667,294.5833,289.2667,0.218,0.035,60.76957,0.598,0.123,0.56,0.143,1.367,1.497,0.91,0.126,4,8,0.126,0.331,D,TS,hu
3746,Christina et al. 2016;Fan et al. 2017,Eucalyptus grandis,,Myrtaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Grasslands; Savannas & Shrublands,Cerrado,NT,60704,,Sao Paolo,-22.97,-48.73,NA,861,deep Ferralsols on Cretaceous sandstone,Sa,C,16,292.7333,13.08333,65.41667,228.8343,302.65,282.65,20,295.3167,289.9,295.3167,289.8667,0.214,0.034,60.53802,0.589,0.121,0.589,0.141,1.43,1.542,0.93,0.103,3,9,0.103,0.374,D,TS,hu
3747,Claus & George 2005;Fan et al. 2017,Fagus sylvatica,,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Western European broadleaf forests,PA,80445,,Leinefelde. Germany,51.33,10.37,NA,750,Stagnic to Haplic Luvisol (O rich; nutrient rich; good drainage),Lo,M,NA,280.6583,7.533333,30.25435,640.7802,292.35,267.45,24.9,274.1833,276.1667,288.6333,272.9,0.099,0.062,12.79666,0.272,0.215,0.254,0.251,0.75,0.686,1.09,0.122,7,5,0.403,0.122,D,E,hu
3748,Claus & George 2005;Fan et al. 2017,Picea abies,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Western European broadleaf forests,PA,80445,,Tharandt. Germany,50.93,13.49,NA,486,Dystric to Dystri-Stagnic Cambisol (aggregates; nutrient rich; good drainage),SaLo,C,NA,280.5833,8.05,28.95683,708.0265,293.55,265.75,27.8,289.2833,275.6667,289.2833,271.9,0.103,0.052,22.32876,0.276,0.171,0.276,0.181,0.82,0.655,1.25,0.094,6,6,0.266,0.094,D,S,hu
3749,Claus & George 2005;Fan et al. 2017,Quercus cerris,,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mediterranean Forests; Woodlands & Scrub,Italian sclerophyllous and semi-deciduous forests,PA,81211,,Roccarespampani. Italy,42.4,11.92,NA,175,Luvisol with high clay content,Cl,F,NA,287.7208,10.15833,36.67268,655.2392,301.65,273.95,27.7,284.2333,296.0167,296.0167,280.1833,0.049,0.009,36.21227,0.135,0.047,0.047,0.115,0.936,1.008,0.93,0.05,4,8,0.05,0.675,D,W,hu
3750,Cline et al. 1977;Fan et al. 2017,Artemesia tridentata,,Asteraceae,Shrub,P,Woody,Dicot,E,needle-leaf,C3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Snake-Columbia shrub steppe,NA.,51309,,Hanford. Washigton,46.58,-119.83,NA,396,Ritzville silt-loam,SiLo,M,NA,284.4542,12.625,33.84719,901.8477,302.05,264.75,37.3,274.1,295.1333,295.6833,273.5333,0.029,0.005,41.91685,0.077,0.024,0.026,0.068,0.22,1.076,0.2,0.026,3,9,0.026,0.913,B,W,sa
3751,Cline et al. 1977;Fan et al. 2017,Bromus tectorum,,Poaceae,Grass,A,Herbaceous,Monocot,,,C3,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Snake-Columbia shrub steppe,NA.,51309,,Hanford. Washigton,46.58,-119.79,NA,305,Ritzville silt-loam,SiLo,M,NA,284.8708,12.65833,33.57648,913.384,302.75,265.05,37.7,274.4,295.6667,296.2833,273.8333,0.029,0.005,42.2202,0.077,0.024,0.026,0.068,0.192,1.089,0.18,0.026,3,9,0.026,0.927,B,W,ar
3752,Coile 1937;Fan et al. 2017,Pinus taeda,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Southeastern mixed forests,NA.,50413,,North Carolina,36.03,-78.99,NA,149,loam over clay,ClLo,F,NA,287.975,13.16667,37.4053,795.9286,305.45,270.25,35.2,297.6833,283.3333,297.6833,277.95,0.11,0.079,11.23966,0.316,0.257,0.316,0.273,1.155,1.273,0.91,0.202,6,6,0.202,0.32,D,E,hu
3753,Coile 1937;Fan et al. 2017,Pinus echinata,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Southeastern mixed forests,NA.,50413,,North Carolina,36.03,-78.98,NA,152,sandy loam. clay loam. then clay,SaClLo,M,NA,287.9875,13.175,37.42898,796.661,305.45,270.25,35.2,297.7,283.35,297.7,277.95,0.11,0.079,11.34907,0.316,0.256,0.316,0.273,1.154,1.274,0.91,0.2,6,6,0.2,0.32,D,E,hu
3754,Coile 1937;Fan et al. 2017,Quercus stellata,,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Southeastern mixed forests,NA.,50413,,North Carolina,36.02,-78.98,NA,161,loam. clay loam. then clay,ClLo,F,NA,287.9792,13.14167,37.33428,795.22,305.45,270.25,35.2,297.0333,283.3667,297.6667,277.9667,0.11,0.079,11.24035,0.317,0.257,0.316,0.273,1.156,1.273,0.91,0.202,6,6,0.202,0.319,D,E,hu
3755,Coile 1937;Fan et al. 2017,Quercus alba,,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Southeastern mixed forests,NA.,50413,,North Carolina,36.02,-79,NA,165,clay,Cl,F,NA,287.9417,13.1,37.42857,793.8938,305.35,270.35,35,296.9667,283.3167,297.6167,277.95,0.11,0.079,11.13702,0.317,0.258,0.316,0.275,1.158,1.275,0.91,0.203,6,6,0.203,0.32,D,E,hu
3756,Coile 1937;Fan et al. 2017,Liquidambar styraciflua,,Altingiaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Southeastern mixed forests,NA.,50413,,North Carolina,36.02,-78.99,NA,181,sandy clay loam. then sandy loam,SaClLo,M,NA,287.9583,13.16667,37.4053,795.0753,305.45,270.25,35.2,297,283.3167,297.65,277.95,0.11,0.079,11.24035,0.317,0.257,0.316,0.273,1.156,1.269,0.91,0.203,6,6,0.203,0.316,D,E,hu
3757,Comino & Druetta 2010;Fan et al. 2017,Festuca pratensis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Conifer Forests,Alps conifer and mixed forests,PA,80501,,NW Italy,44.82,7.32,NA,357,sand/silt,SaSi,M,NA,285.3625,10.75833,34.7043,738.2908,300.55,269.55,31,288.8167,276.3667,294.6,276.3667,0.1,0.045,29.02826,0.259,0.138,0.188,0.138,1.092,0.936,1.17,0.151,5,7,0.151,0.301,D,S,hu
3758,Comino & Druetta 2010;Fan et al. 2017,Festuca pratensis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Conifer Forests,Alps conifer and mixed forests,PA,80501,,NW Italy,44.83,7.3,NA,402,sand/gravel,Sa,C,NA,285.2875,10.525,34.28339,734.5565,300.25,269.55,30.7,288.7,276.35,294.5,276.35,0.101,0.045,28.85425,0.26,0.139,0.191,0.139,1.092,0.929,1.18,0.152,5,7,0.152,0.29,D,S,hu
3759,Comino & Druetta 2010;Fan et al. 2017,Festuca pratensis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Conifer Forests,Alps conifer and mixed forests,PA,80501,,NW Italy,44.8,7.28,NA,437,silt/sand,SaSi,M,NA,285.0542,10.35833,34.29912,722.3713,299.65,269.45,30.2,288.3667,276.2667,294.1167,276.2667,0.098,0.046,27.6952,0.256,0.142,0.189,0.142,1.092,0.922,1.18,0.158,5,7,0.158,0.287,D,S,hu
3760,Coughenour et al. 1990;Fan et al. 2017,Acacia tortilis,,Fabaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Masai xeric grasslands and shrublands,AT,31313,,Turkana County,2.19,36.14,NA,530,deep sandy soils,Sa,C,NA,302.1708,11.825,82.11806,68.07274,309.45,295.05,14.4,302.2833,301.4667,302.9333,301.4667,0.058,0.008,60.86263,0.127,0.039,0.053,0.039,0.2,2.091,0.1,0,0,12,0,1.811,B,TS,ar
3761,Coughenour et al. 1990;Fan et al. 2017,Acacia reficiens,,Fabaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Masai xeric grasslands and shrublands,AT,31313,,Turkana County,2.28,36.27,NA,636,deep sandy soils,Sa,C,NA,301.3042,11.25833,86.60256,53.82878,307.95,294.95,13,301.3167,301.9333,301.9333,300.8667,0.062,0.007,63.35219,0.13,0.039,0.039,0.043,0.3,2.045,0.15,0,0,12,0,1.758,C,TS,ar
3762,Coupland & Johnson 1965;Fan et al. 2017,Stipa comata,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Northern short grasslands,NA.,50811,,Southern Saskatchewan,50.41,-107.79,NA,762,loam,Lo,M,NA,276.725,12.13333,27.38901,1176.177,296.75,252.45,44.3,288.1667,263.8167,290.5833,261.5333,0.077,0.012,61.73648,0.182,0.049,0.177,0.049,0.3065,0.795,0.39,0.038,4,8,0.038,0.451,C,S,sa
3763,Coupland & Johnson 1965;Fan et al. 2017,Stipa comata,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Northern mixed grasslands,NA.,50810,,Southern Saskatchewan,49.57,-109.5,NA,1130,loam,Lo,M,NA,276.0958,13.125,30.38194,1086.536,296.25,253.05,43.2,286.5833,269.7333,289.0167,262.1833,0.09,0.024,45.9641,0.199,0.082,0.18,0.082,0.3065,0.798,0.38,0.083,5,7,0.083,0.393,C,S,sa
